movie_id,title,release_year,budget,revenue,vote_average,collection_id
1412340,Step On It,1931,0,0,0.0,
1412334,Suited to a T.,1931,0,0,0.0,
1412331,Texas in 1999,1931,0,0,0.0,
1411884,be ready,1931,0,0,0.0,
1411859,in the area of ​​avalanches,1931,0,0,0.0,
1408920,Lasca of the Rio Grande,1931,0,0,0.0,
1391486,Air Police,1931,0,0,0.0,
1387239,That Certain Trio,1931,0,0,0.0,
1387237,Studio Sap,1931,0,0,0.0,
1387234,Sacred Elephants of India,1931,0,0,0.0,
1387229,Roamin' in the Gloamin',1931,0,0,0.0,
1387226,Peasants' Paradise,1931,0,0,0.0,
33680,Grand Hotel,1932,700000,2594000,6.9,
239423,The Big Broadcast,1932,0,2000000,7.1,1157137.0
104221,Emma,1932,350000,1972000,6.5,
272667,Prosperity,1932,628000,1514000,4.7,
150397,As You Desire Me,1932,460733,1362000,6.2,
130422,Strange Interlude,1932,654000,1237000,5.727,
38077,Red Dust,1932,408000,1223000,6.953,
13634,One Way Passage,1932,350000,1108000,7.254,
92341,Bird of Paradise,1932,0,753000,5.0,
98398,The Lost Squadron,1932,621000,732000,6.3,
877,Scarface,1932,800000,600000,7.4,
1994,The Most Dangerous Game,1932,219869,443000,6.932,
1421407,The Voice of the World,1932,0,0,0.0,
1413961,Stan and Olly,1932,0,0,0.0,
1411919,უდაბნო,1932,0,0,0.0,
1411909,Shakir,1932,0,0,0.0,
1395781,Passport to Paradise,1932,0,0,0.0,
1393902,Moskva,1932,0,0,0.0,
1387301,"Two Lips and Juleps; or, Southern Love and Northern Exposure",1932,0,0,0.0,
1387287,The Iceless Arctic,1932,0,0,0.0,
1387284,"Switchboards, Old and New",1932,0,0,0.0,
1387272,Mickey's Busy Day,1932,0,0,0.0,
1382262,It Happened in Paris,1932,0,0,0.0,
1373720,The Fighting Gentleman,1932,0,0,0.0,
1371987,Flip the Frog : The Music Lesson,1932,0,0,0.0,
244,King Kong,1933,672000,10000000,7.6,135495.0
56164,Cavalcade,1933,1180280,7630000,5.5,
31511,Gold Diggers of 1933,1933,433000,3200000,7.1,
34456,I'm No Angel,1933,225000,2850000,6.4,
31526,Queen Christina,1933,1114000,2610000,6.807,
28432,Footlight Parade,1933,703000,2416000,6.9,
43600,Dancing Lady,1933,923055,2400000,7.0,
3062,42nd Street,1933,439000,2281000,6.9,
43595,She Done Him Wrong,1933,200000,2200000,5.8,
